0,bond_types,bond_amounts,issue_info,ISIN_Code,quarter,year
isin_code_not_found,isin_code_not_found,isin_code_not_found,isin_code_not_found,FR0012315133,Q3,2017
isin_code_not_found,isin_code_not_found,isin_code_not_found,isin_code_not_found,XS1732400319,Q4,2017
isin_code_not_found,isin_code_not_found,isin_code_not_found,isin_code_not_found,XS1759603761,Q1,2018
isin_code_not_found,isin_code_not_found,isin_code_not_found,isin_code_not_found,XS1775786574,Q1,2018
isin_code_not_found,isin_code_not_found,isin_code_not_found,isin_code_not_found,FR0013374881,Q4,2018
isin_code_not_found,isin_code_not_found,isin_code_not_found,isin_code_not_found,XS2150006562,Q2,2020
isin_code_not_found,isin_code_not_found,isin_code_not_found,isin_code_not_found,FR0013517711,Q2,2020
isin_code_not_found,isin_code_not_found,isin_code_not_found,isin_code_not_found,FR0013422227,Q4,2020
isin_code_not_found,isin_code_not_found,isin_code_not_found,isin_code_not_found,FR0014000394,Q4,2020
isin_code_not_found,isin_code_not_found,isin_code_not_found,isin_code_not_found,FR0014000C08,Q4,2020
isin_code_not_found,isin_code_not_found,isin_code_not_found,isin_code_not_found,FR0014000C73,Q4,2020
